,season,team,player
1210,2012,Delhi Daredevils,KP Pietersen
1211,2013,Delhi Daredevils,RE van der Merwe
1212,2019,Kings XI Punjab,AJ Tye
1213,2014,Sunrisers Hyderabad,IK Pathan
1214,2011,Pune Warriors,MD Mishra
1215,2011,Kochi Tuskers Kerala,BJ Hodge
1216,2014,Sunrisers Hyderabad,S Dhawan
1217,2019,Delhi Capitals,J Suchith
1218,2010,Kings XI Punjab,DPMD Jayawardene
1219,2014,Mumbai Indians,CM Gautam
1220,2012,Kolkata Knight Riders,YK Pathan
1221,2008,Mumbai Indians,MK Pandey
1222,2009,Royal Challengers Bangalore,RE van der Merwe
1223,2011,Deccan Chargers,I Sharma
1224,2008,Mumbai Indians,MA Khote
1225,2014,Rajasthan Royals,STR Binny
1226,2019,Rajasthan Royals,M Lomror
1227,2013,Pune Warriors,KW Richardson
1228,2013,Kings XI Punjab,DA Miller
1229,2018,Rajasthan Royals,H Klaasen
1230,2019,Royal Challengers Bangalore,YS Chahal
1231,2009,Kolkata Knight Riders,M Kartik
1232,2013,Kings XI Punjab,AC Gilchrist
1233,2013,Pune Warriors,MK Pandey
1234,2008,Delhi Daredevils,Mohammad Asif
1235,2012,Royal Challengers Bangalore,MA Agarwal
1236,2009,Deccan Chargers,AC Gilchrist
1237,2019,Rajasthan Royals,VR Aaron
1238,2010,Kings XI Punjab,SJ Srivastava
1239,2014,Sunrisers Hyderabad,MC Henriques
1240,2017,Gujarat Lions,MM Patel
1241,2010,Royal Challengers Bangalore,LRPL Taylor
1242,2015,Sunrisers Hyderabad,KV Sharma
1243,2015,Royal Challengers Bangalore,S Aravind
1244,2013,Mumbai Indians,KA Pollard
1245,2011,Mumbai Indians,RW Price
1246,2017,Delhi Daredevils,AP Tare
1247,2009,Rajasthan Royals,J Botha
1248,2019,Kolkata Knight Riders,P Krishna
1249,2013,Mumbai Indians,GJ Maxwell
1250,2015,Rajasthan Royals,PV Tambe
1251,2016,Sunrisers Hyderabad,AP Tare
1252,2011,Kings XI Punjab,SE Marsh
1253,2008,Mumbai Indians,DJ Thornely
1254,2018,Kings XI Punjab,AR Patel
1255,2018,Delhi Daredevils,G Gambhir
1256,2009,Deccan Chargers,Harmeet Singh
1257,2014,Chennai Super Kings,V Shankar
1258,2013,Sunrisers Hyderabad,KV Sharma
1259,2009,Mumbai Indians,AM Rahane
1260,2014,Sunrisers Hyderabad,JO Holder
1261,2015,Rajasthan Royals,CH Morris
1262,2015,Kings XI Punjab,V Sehwag
1263,2019,Mumbai Indians,JJ Bumrah
1264,2011,Kolkata Knight Riders,JH Kallis
1265,2016,Kolkata Knight Riders,C Munro
1266,2015,Rajasthan Royals,SPD Smith
1267,2009,Chennai Super Kings,M Muralitharan
1268,2011,Deccan Chargers,DT Christian
1269,2015,Sunrisers Hyderabad,Bipul Sharma
1270,2008,Kolkata Knight Riders,AB Dinda
1271,2019,Royal Challengers Bangalore,P Negi
1272,2009,Kolkata Knight Riders,LR Shukla
1273,2012,Mumbai Indians,CJ McKay
1274,2018,Royal Challengers Bangalore,V Kohli
1275,2015,Delhi Daredevils,SS Iyer
1276,2011,Chennai Super Kings,DJ Bravo
1277,2013,Kolkata Knight Riders,Iqbal Abdulla
1278,2008,Kings XI Punjab,DPMD Jayawardene
1279,2010,Kolkata Knight Riders,LR Shukla
1280,2013,Pune Warriors,MN Samuels
1281,2011,Royal Challengers Bangalore,S Aravind
1282,2010,Chennai Super Kings,JM Kemp
1283,2016,Kolkata Knight Riders,Kuldeep Yadav
1284,2010,Rajasthan Royals,MJ Lumb
1285,2012,Royal Challengers Bangalore,CA Pujara
1286,2011,Deccan Chargers,A Mishra
1287,2015,Mumbai Indians,J Suchith
1288,2010,Deccan Chargers,TL Suman
1289,2010,Chennai Super Kings,SK Raina
1290,2016,Sunrisers Hyderabad,KV Sharma
1291,2018,Royal Challengers Bangalore,Mandeep Singh
1292,2014,Royal Challengers Bangalore,R Rampaul
1293,2019,Mumbai Indians,AS Yadav
1294,2012,Rajasthan Royals,R Dravid
1295,2010,Chennai Super Kings,ML Hayden
1296,2016,Delhi Daredevils,SV Samson
1297,2015,Delhi Daredevils,Yuvraj Singh
1298,2010,Delhi Daredevils,MF Maharoof
1299,2017,Kolkata Knight Riders,CA Lynn
1300,2014,Kings XI Punjab,Mandeep Singh
1301,2019,Delhi Capitals,K Rabada
1302,2016,Sunrisers Hyderabad,BCJ Cutting
1303,2012,Kings XI Punjab,Bipul Sharma
1304,2009,Kolkata Knight Riders,DJ Hussey
1305,2010,Kolkata Knight Riders,CK Langeveldt
1306,2016,Sunrisers Hyderabad,MC Henriques
1307,2009,Mumbai Indians,DJ Bravo
1308,2017,Gujarat Lions,DR Smith
1309,2017,Delhi Daredevils,MN Samuels
1310,2011,Delhi Daredevils,MS Wade
1311,2018,Royal Challengers Bangalore,AB de Villiers
1312,2017,Royal Challengers Bangalore,TS Mills
1313,2017,Delhi Daredevils,Z Khan
1314,2013,Pune Warriors,WD Parnell
1315,2016,Delhi Daredevils,NM Coulter-Nile
1316,2018,Delhi Daredevils,Avesh Khan
1317,2011,Delhi Daredevils,S Nadeem
1318,2017,Delhi Daredevils,A Mishra
1319,2012,Kolkata Knight Riders,SP Narine
1320,2010,Royal Challengers Bangalore,MV Boucher
1321,2017,Rising Pune Supergiant,MK Tiwary
1322,2011,Mumbai Indians,KA Pollard
1323,2015,Chennai Super Kings,A Nehra
1324,2008,Chennai Super Kings,CK Kapugedera
1325,2011,Delhi Daredevils,RE van der Merwe
1326,2010,Chennai Super Kings,Joginder Sharma
1327,2010,Kings XI Punjab,IK Pathan
1328,2015,Royal Challengers Bangalore,CH Gayle
1329,2009,Mumbai Indians,PR Shah
1330,2015,Kolkata Knight Riders,G Gambhir
1331,2016,Gujarat Lions,SK Raina
1332,2012,Pune Warriors,MK Pandey
1333,2013,Rajasthan Royals,BJ Hodge
1334,2013,Rajasthan Royals,Sachin Baby
1335,2012,Deccan Chargers,DB Ravi Teja
1336,2016,Gujarat Lions,DR Smith
1337,2019,Rajasthan Royals,J Archer
1338,2009,Kolkata Knight Riders,MC Henriques
1339,2012,Mumbai Indians,Harbhajan Singh
1340,2017,Sunrisers Hyderabad,S Dhawan
1341,2012,Royal Challengers Bangalore,RR Bhatkal
1342,2017,Rising Pune Supergiant,Washington Sundar
1343,2009,Deccan Chargers,PP Ojha
1344,2010,Delhi Daredevils,M Manhas
1345,2019,Chennai Super Kings,Harbhajan Singh
1346,2010,Deccan Chargers,R Sharma
1347,2018,Mumbai Indians,HH Pandya
1348,2008,Chennai Super Kings,A Mukund
1349,2017,Rising Pune Supergiant,F du Plessis
1350,2014,Rajasthan Royals,AM Rahane
1351,2019,Chennai Super Kings,SR Watson
1352,2013,Kolkata Knight Riders,RN ten Doeschate
1353,2008,Royal Challengers Bangalore,A Kumble
1354,2010,Chennai Super Kings,S Tyagi
1355,2014,Chennai Super Kings,SK Raina
1356,2014,Chennai Super Kings,M Manhas
1357,2016,Kolkata Knight Riders,GB Hogg
1358,2009,Kolkata Knight Riders,Yashpal Singh
1359,2013,Mumbai Indians,NM Coulter-Nile
1360,2013,Rajasthan Royals,OA Shah
1361,2014,Rajasthan Royals,PV Tambe
1362,2016,Kings XI Punjab,WP Saha
1363,2014,Mumbai Indians,SL Malinga
1364,2018,Delhi Daredevils,HV Patel
1365,2011,Kochi Tuskers Kerala,VVS Laxman
1366,2013,Royal Challengers Bangalore,SS Tiwary
1367,2019,Rajasthan Royals,K Gowtham
1368,2010,Kolkata Knight Riders,CH Gayle
1369,2011,Pune Warriors,SB Wagh
1370,2011,Delhi Daredevils,NV Ojha
1371,2015,Sunrisers Hyderabad,NV Ojha
1372,2017,Sunrisers Hyderabad,Mustafizur Rahman
1373,2015,Rajasthan Royals,R Tewatia
1374,2019,Kings XI Punjab,CH Gayle
1375,2019,Kings XI Punjab,V Chakravarthy
1376,2013,Sunrisers Hyderabad,S Dhawan
1377,2016,Kings XI Punjab,Sandeep Sharma
1378,2018,Delhi Daredevils,JJ Roy
1379,2019,Mumbai Indians,KA Pollard
1380,2014,Kolkata Knight Riders,CA Lynn
1381,2009,Rajasthan Royals,SM Harwood
1382,2011,Rajasthan Royals,A Singh
1383,2010,Mumbai Indians,AT Rayudu
1384,2012,Mumbai Indians,NLTC Perera
1385,2012,Pune Warriors,K Upadhyay
1386,2016,Royal Challengers Bangalore,D Wiese
1387,2014,Delhi Daredevils,Imran Tahir
1388,2017,Delhi Daredevils,AD Mathews
1389,2014,Kolkata Knight Riders,YK Pathan
1390,2016,Mumbai Indians,HH Pandya
1391,2018,Sunrisers Hyderabad,Shakib Al Hasan
1392,2019,Rajasthan Royals,JD Unadkat
1393,2019,Mumbai Indians,Ishan Kishan
1394,2008,Mumbai Indians,L Ronchi
1395,2016,Mumbai Indians,KA Pollard
1396,2008,Deccan Chargers,A Symonds
1397,2008,Deccan Chargers,PP Ojha
1398,2008,Delhi Daredevils,Shoaib Malik
1399,2010,Delhi Daredevils,DA Warner
1400,2013,Delhi Daredevils,BMAJ Mendis
1401,2014,Rajasthan Royals,SR Watson
1402,2010,Rajasthan Royals,AA Jhunjhunwala
1403,2009,Delhi Daredevils,MF Maharoof
1404,2009,Royal Challengers Bangalore,SP Goswami
1405,2009,Royal Challengers Bangalore,Pankaj Singh
1406,2013,Pune Warriors,RV Gomez
1407,2010,Mumbai Indians,SR Tendulkar
1408,2014,Rajasthan Royals,SV Samson
1409,2009,Deccan Chargers,VVS Laxman
1410,2014,Mumbai Indians,KA Pollard
1411,2017,Mumbai Indians,KA Pollard
1412,2014,Kolkata Knight Riders,PP Chawla
1413,2011,Pune Warriors,B Kumar
1414,2010,Kolkata Knight Riders,DJ Hussey
1415,2010,Chennai Super Kings,MEK Hussey
1416,2011,Deccan Chargers,MS Gony
1417,2008,Deccan Chargers,SB Bangar
1418,2016,Royal Challengers Bangalore,Sachin Baby
1419,2019,Sunrisers Hyderabad,R Bhui
1420,2010,Kings XI Punjab,RS Bopara
1421,2014,Royal Challengers Bangalore,VR Aaron
1422,2017,Mumbai Indians,PA Patel
1423,2017,Gujarat Lions,RA Jadeja
1424,2016,Gujarat Lions,S Kaushik
1425,2012,Mumbai Indians,PP Ojha
1426,2014,Chennai Super Kings,R Ashwin
1427,2018,Kolkata Knight Riders,P Krishna
1428,2011,Chennai Super Kings,S Anirudha
1429,2013,Rajasthan Royals,AA Chavan
1430,2018,Kolkata Knight Riders,R Vinay Kumar
1431,2010,Royal Challengers Bangalore,RV Uthappa
1432,2008,Delhi Daredevils,PJ Sangwan
1433,2015,Rajasthan Royals,JP Faulkner
1434,2016,Kings XI Punjab,P Sahu
1435,2013,Kings XI Punjab,P Awana
1436,2013,Sunrisers Hyderabad,BB Samantray
1437,2016,Rising Pune Supergiants,MR Marsh
1438,2018,Chennai Super Kings,RA Jadeja
1439,2016,Kolkata Knight Riders,AS Rajpoot
1440,2008,Delhi Daredevils,VY Mahesh
1441,2013,Royal Challengers Bangalore,KL Rahul
1442,2019,Kolkata Knight Riders,R Singh
1443,2015,Sunrisers Hyderabad,DW Steyn
1444,2018,Sunrisers Hyderabad,KS Williamson
1445,2017,Kolkata Knight Riders,YK Pathan
1446,2014,Chennai Super Kings,MS Dhoni
1447,2013,Rajasthan Royals,MDKJ Perera
1448,2015,Chennai Super Kings,F du Plessis
1449,2009,Delhi Daredevils,A Mishra
1450,2011,Pune Warriors,Yuvraj Singh
1451,2017,Mumbai Indians,MG Johnson
1452,2018,Delhi Daredevils,NV Ojha
1453,2010,Chennai Super Kings,M Vijay
1454,2017,Delhi Daredevils,CR Brathwaite
1455,2016,Kolkata Knight Riders,YK Pathan
1456,2017,Gujarat Lions,S Kaushik
1457,2012,Pune Warriors,B Kumar
1458,2010,Kolkata Knight Riders,CA Pujara
1459,2012,Deccan Chargers,JP Duminy
1460,2018,Kings XI Punjab,MA Agarwal
1461,2016,Mumbai Indians,JC Buttler
1462,2018,Sunrisers Hyderabad,CJ Jordan
1463,2008,Kolkata Knight Riders,Mohammad Hafeez
1464,2008,Rajasthan Royals,Younis Khan
1465,2013,Rajasthan Royals,Harmeet Singh (2)
1466,2016,Kolkata Knight Riders,M Morkel
1467,2008,Kolkata Knight Riders,AB Agarkar
1468,2018,Delhi Daredevils,GJ Maxwell
1469,2019,Mumbai Indians,KH Pandya
1470,2014,Delhi Daredevils,KP Pietersen
1471,2019,Delhi Capitals,SS Iyer
1472,2015,Royal Challengers Bangalore,YS Chahal
1473,2011,Kolkata Knight Riders,L Balaji
1474,2014,Chennai Super Kings,BW Hilfenhaus
1475,2012,Mumbai Indians,RE Levi
1476,2014,Delhi Daredevils,M Vijay
1477,2019,Kolkata Knight Riders,S Gill
1478,2017,Kings XI Punjab,DA Miller
1479,2014,Chennai Super Kings,MM Sharma
1480,2012,Chennai Super Kings,F du Plessis
1481,2009,Royal Challengers Bangalore,D du Preez
1482,2017,Kings XI Punjab,WP Saha
1483,2014,Kolkata Knight Riders,MK Pandey
1484,2013,Kings XI Punjab,DJ Hussey
1485,2015,Mumbai Indians,UBT Chand
1486,2013,Sunrisers Hyderabad,PA Reddy
1487,2015,Mumbai Indians,LMP Simmons
1488,2016,Gujarat Lions,S Ladda
1489,2015,Royal Challengers Bangalore,NJ Maddinson
1490,2019,Rajasthan Royals,RA Tripathi
1491,2010,Chennai Super Kings,R Ashwin
1492,2008,Delhi Daredevils,G Gambhir
1493,2013,Pune Warriors,M Rawat
1494,2009,Chennai Super Kings,A Flintoff
1495,2008,Delhi Daredevils,GD McGrath
1496,2011,Deccan Chargers,Anand Rajan
1497,2017,Rising Pune Supergiant,RD Chahar
1498,2010,Delhi Daredevils,V Sehwag
1499,2011,Rajasthan Royals,SA Asnodkar
1500,2015,Mumbai Indians,M de Lange
1501,2012,Delhi Daredevils,IK Pathan
1502,2009,Kings XI Punjab,IK Pathan
1503,2012,Delhi Daredevils,AB Agarkar
1504,2008,Chennai Super Kings,S Anirudha
1505,2014,Kings XI Punjab,Karanveer Singh
1506,2019,Sunrisers Hyderabad,S Nadeem
1507,2012,Royal Challengers Bangalore,SS Tiwary
1508,2008,Kings XI Punjab,WA Mota
1509,2008,Deccan Chargers,PM Sarvesh Kumar
1510,2015,Sunrisers Hyderabad,EJG Morgan
1511,2008,Rajasthan Royals,SK Warne
1512,2009,Kings XI Punjab,KC Sangakkara
1513,2019,Delhi Capitals,RR Pant
1514,2016,Kings XI Punjab,AR Patel
1515,2011,Kochi Tuskers Kerala,M Klinger
1516,2013,Pune Warriors,R Sharma
1517,2015,Mumbai Indians,AJ Finch
1518,2008,Kings XI Punjab,PP Chawla
1519,2010,Mumbai Indians,R McLaren
1520,2013,Kolkata Knight Riders,JH Kallis
1521,2010,Kolkata Knight Riders,MK Tiwary
1522,2009,Kings XI Punjab,RR Bose
1523,2011,Royal Challengers Bangalore,JJ van der Wath
1524,2012,Delhi Daredevils,M Morkel
1525,2019,Sunrisers Hyderabad,MJ Guptill
1526,2019,Rajasthan Royals,S Midhun
1527,2016,Sunrisers Hyderabad,DJ Hooda
1528,2008,Mumbai Indians,A Nel
1529,2016,Rising Pune Supergiants,AM Rahane
1530,2012,Royal Challengers Bangalore,KP Appanna
1531,2016,Royal Challengers Bangalore,KW Richardson
1532,2012,Kings XI Punjab,Mandeep Singh
1533,2019,Mumbai Indians,A Roy
1534,2019,Sunrisers Hyderabad,MK Pandey
1535,2010,Chennai Super Kings,KB Arun Karthik
1536,2017,Rising Pune Supergiant,MA Agarwal
1537,2013,Rajasthan Royals,JP Faulkner
1538,2018,Royal Challengers Bangalore,YS Chahal
1539,2018,Chennai Super Kings,SW Billings
1540,2019,Sunrisers Hyderabad,S Kaul
1541,2016,Sunrisers Hyderabad,KS Williamson
1542,2014,Rajasthan Royals,VS Malik
1543,2013,Pune Warriors,AM Nayar
1544,2009,Deccan Chargers,DB Ravi Teja
1545,2008,Kings XI Punjab,IK Pathan
1546,2010,Delhi Daredevils,S Ladda
1547,2017,Delhi Daredevils,Mohammed Shami
1548,2012,Delhi Daredevils,UBT Chand
1549,2015,Kings XI Punjab,Karanveer Singh
1550,2013,Pune Warriors,AB Dinda
1551,2014,Kings XI Punjab,R Dhawan
1552,2013,Pune Warriors,Parvez Rasool
1553,2011,Deccan Chargers,JP Duminy
1554,2015,Delhi Daredevils,MK Tiwary
1555,2017,Kolkata Knight Riders,SP Jackson
1556,2014,Sunrisers Hyderabad,I Sharma
1557,2009,Delhi Daredevils,Y Nagar
1558,2016,Rising Pune Supergiants,SPD Smith
1559,2018,Mumbai Indians,M Markande
1560,2019,Sunrisers Hyderabad,K Ahmed
1561,2013,Pune Warriors,BAW Mendis
1562,2012,Kings XI Punjab,PP Chawla
1563,2011,Delhi Daredevils,Y Nagar
1564,2008,Rajasthan Royals,DS Lehmann
1565,2011,Deccan Chargers,Harmeet Singh
1566,2016,Rising Pune Supergiants,R Bhatia
1567,2013,Mumbai Indians,DR Smith
1568,2019,Mumbai Indians,J Behrendorff
1569,2008,Chennai Super Kings,JA Morkel
1570,2013,Delhi Daredevils,MC Juneja
1571,2016,Kings XI Punjab,GJ Maxwell
1572,2010,Chennai Super Kings,DE Bollinger
1573,2013,Royal Challengers Bangalore,A Mithun
1574,2008,Kolkata Knight Riders,BJ Hodge
1575,2011,Royal Challengers Bangalore,R Ninan
1576,2017,Kings XI Punjab,HM Amla
1577,2008,Deccan Chargers,H Das
1578,2015,Delhi Daredevils,Q de Kock
1579,2014,Kolkata Knight Riders,PJ Cummins
1580,2010,Royal Challengers Bangalore,JH Kallis
1581,2014,Kolkata Knight Riders,G Gambhir
1582,2011,Kolkata Knight Riders,Iqbal Abdulla
1583,2011,Pune Warriors,R Sharma
1584,2017,Delhi Daredevils,SS Iyer
1585,2013,Kolkata Knight Riders,YK Pathan
1586,2013,Kolkata Knight Riders,S Narwal
1587,2012,Deccan Chargers,CA Lynn
1588,2018,Kings XI Punjab,AS Rajpoot
1589,2014,Chennai Super Kings,DR Smith
1590,2019,Chennai Super Kings,F du Plessis
1591,2011,Kochi Tuskers Kerala,RA Jadeja
1592,2015,Royal Challengers Bangalore,SN Khan
1593,2008,Kolkata Knight Riders,LR Shukla
1594,2016,Royal Challengers Bangalore,SN Khan
1595,2012,Delhi Daredevils,Y Venugopal Rao
1596,2009,Rajasthan Royals,AD Mascarenhas
1597,2012,Royal Challengers Bangalore,A Mithun
1598,2014,Mumbai Indians,PP Ojha
1599,2017,Kings XI Punjab,VR Aaron
1600,2011,Kolkata Knight Riders,YK Pathan
1601,2012,Chennai Super Kings,RA Jadeja
1602,2015,Kolkata Knight Riders,RV Uthappa
1603,2009,Royal Challengers Bangalore,JD Ryder
1604,2016,Royal Challengers Bangalore,AF Milne
1605,2008,Rajasthan Royals,Sohail Tanvir
1606,2010,Delhi Daredevils,MC Henriques
1607,2015,Kolkata Knight Riders,M Morkel
1608,2015,Kolkata Knight Riders,YK Pathan
1609,2015,Mumbai Indians,P Suyal
1610,2019,Sunrisers Hyderabad,DA Warner
1611,2008,Mumbai Indians,SM Pollock
1612,2011,Rajasthan Royals,J Botha
1613,2013,Mumbai Indians,MG Johnson
1614,2008,Kolkata Knight Riders,Umar Gul
1615,2016,Rising Pune Supergiants,SM Boland
1616,2008,Delhi Daredevils,MK Tiwary
1617,2016,Kolkata Knight Riders,PP Chawla
1618,2009,Mumbai Indians,SL Malinga
1619,2014,Royal Challengers Bangalore,SB Jakati
1620,2017,Gujarat Lions,SK Raina
1621,2009,Delhi Daredevils,R Bhatia
1622,2009,Rajasthan Royals,RJ Quiney
1623,2013,Sunrisers Hyderabad,DJG Sammy
1624,2008,Rajasthan Royals,YK Pathan
1625,2009,Chennai Super Kings,JDP Oram
1626,2013,Rajasthan Royals,PV Tambe
1627,2010,Royal Challengers Bangalore,KP Appanna
1628,2015,Kings XI Punjab,SN Thakur
1629,2011,Pune Warriors,MR Marsh
1630,2018,Rajasthan Royals,JD Unadkat
1631,2016,Kolkata Knight Riders,SP Narine
1632,2011,Delhi Daredevils,VR Aaron
1633,2017,Gujarat Lions,Ankit Soni
1634,2013,Royal Challengers Bangalore,DT Christian
1635,2016,Kolkata Knight Riders,AD Russell
1636,2013,Kolkata Knight Riders,MK Tiwary
1637,2012,Deccan Chargers,TP Sudhindra
1638,2013,Mumbai Indians,KD Karthik
1639,2013,Royal Challengers Bangalore,CA Pujara
1640,2010,Chennai Super Kings,L Balaji
1641,2012,Rajasthan Royals,AA Chavan
1642,2012,Deccan Chargers,DW Steyn
1643,2017,Rising Pune Supergiant,SPD Smith
1644,2011,Mumbai Indians,R Sathish
1645,2019,Royal Challengers Bangalore,Gurkeerat Singh
1646,2011,Delhi Daredevils,AJ Finch
1647,2013,Rajasthan Royals,S Badree
1648,2012,Chennai Super Kings,S Anirudha
1649,2010,Mumbai Indians,S Dhawan
1650,2009,Kolkata Knight Riders,SS Sarkar
1651,2018,Kings XI Punjab,BB Sran
1652,2010,Rajasthan Royals,YK Pathan
1653,2018,Sunrisers Hyderabad,Mohammad Nabi
1654,2018,Rajasthan Royals,I Sodhi
1655,2012,Pune Warriors,CJ Ferguson
1656,2019,Royal Challengers Bangalore,Mohammed Siraj
1657,2014,Kings XI Punjab,Sandeep Sharma
1658,2012,Rajasthan Royals,SP Goswami
1659,2018,Royal Challengers Bangalore,K Khejroliya
1660,2008,Delhi Daredevils,B Geeves
1661,2011,Kolkata Knight Riders,MK Tiwary
1662,2008,Chennai Super Kings,PA Patel
1663,2018,Rajasthan Royals,K Gowtham
1664,2011,Kochi Tuskers Kerala,DPMD Jayawardene
1665,2012,Kolkata Knight Riders,DB Das
1666,2011,Pune Warriors,RV Uthappa
1667,2015,Delhi Daredevils,SS Tiwary
1668,2009,Kings XI Punjab,RS Bopara
1669,2008,Delhi Daredevils,S Dhawan
1670,2011,Rajasthan Royals,SR Watson
1671,2009,Delhi Daredevils,AB McDonald
1672,2008,Chennai Super Kings,SP Fleming
1673,2014,Rajasthan Royals,AM Nayar
1674,2013,Delhi Daredevils,S Kaul
1675,2010,Mumbai Indians,AG Murtaza
1676,2014,Chennai Super Kings,JW Hastings
1677,2013,Mumbai Indians,AP Tare
1678,2015,Sunrisers Hyderabad,P Kumar
1679,2008,Delhi Daredevils,AB de Villiers
1680,2014,Rajasthan Royals,Iqbal Abdulla
1681,2018,Sunrisers Hyderabad,WP Saha
1682,2018,Chennai Super Kings,D Shorey
1683,2010,Mumbai Indians,C Madan
1684,2010,Kolkata Knight Riders,AB Agarkar
1685,2013,Chennai Super Kings,AS Rajpoot
1686,2019,Kings XI Punjab,DA Miller
1687,2009,Chennai Super Kings,M Vijay
1688,2010,Delhi Daredevils,A Mishra
1689,2013,Delhi Daredevils,AB Agarkar
1690,2016,Sunrisers Hyderabad,EJG Morgan
1691,2014,Royal Challengers Bangalore,JA Morkel
1692,2018,Chennai Super Kings,M Vijay
1693,2014,Kings XI Punjab,GJ Maxwell
1694,2014,Chennai Super Kings,RA Jadeja
1695,2014,Sunrisers Hyderabad,DA Warner
1696,2008,Kolkata Knight Riders,Salman Butt
1697,2009,Mumbai Indians,ST Jayasuriya
1698,2014,Kolkata Knight Riders,SA Yadav
1699,2015,Kings XI Punjab,GJ Bailey
1700,2013,Kings XI Punjab,M Vohra
1701,2018,Rajasthan Royals,P Chopra
1702,2016,Rising Pune Supergiants,IK Pathan
1703,2012,Kolkata Knight Riders,RN ten Doeschate
1704,2015,Rajasthan Royals,DJ Hooda
1705,2016,Mumbai Indians,MJ Guptill
1706,2015,Kolkata Knight Riders,SP Narine
1707,2012,Pune Warriors,AG Murtaza
1708,2011,Chennai Super Kings,M Vijay
1709,2010,Kings XI Punjab,YA Abdulla
1710,2014,Kings XI Punjab,MG Johnson
1711,2013,Mumbai Indians,P Suyal
1712,2015,Mumbai Indians,MJ McClenaghan
1713,2013,Kings XI Punjab,PP Chawla
1714,2012,Kolkata Knight Riders,M de Lange
1715,2017,Rising Pune Supergiant,DL Chahar
1716,2018,Kolkata Knight Riders,J Searles
1717,2018,Delhi Daredevils,SS Iyer
1718,2010,Deccan Chargers,AC Gilchrist
1719,2008,Chennai Super Kings,M Ntini
1720,2011,Kings XI Punjab,RJ Harris
1721,2014,Royal Challengers Bangalore,NJ Maddinson
1722,2009,Rajasthan Royals,YK Pathan
1723,2008,Deccan Chargers,HH Gibbs
1724,2008,Kolkata Knight Riders,DJ Hussey
1725,2014,Delhi Daredevils,JD Unadkat
1726,2013,Delhi Daredevils,DPMD Jayawardene
1727,2014,Sunrisers Hyderabad,NV Ojha
1728,2016,Sunrisers Hyderabad,A Ashish Reddy
1729,2011,Delhi Daredevils,JR Hopes
1730,2017,Sunrisers Hyderabad,BB Sran
1731,2014,Delhi Daredevils,S Kaul
1732,2012,Kings XI Punjab,BA Bhatt
1733,2017,Sunrisers Hyderabad,DJ Hooda
1734,2013,Pune Warriors,IC Pandey
1735,2009,Rajasthan Royals,GC Smith
1736,2012,Chennai Super Kings,DJ Bravo
1737,2016,Gujarat Lions,PV Tambe
1738,2019,Delhi Capitals,TA Boult
1739,2011,Royal Challengers Bangalore,KB Arun Karthik
1740,2013,Rajasthan Royals,SV Samson
1741,2011,Kochi Tuskers Kerala,R Vinay Kumar
1742,2016,Rising Pune Supergiants,UT Khawaja
1743,2017,Kings XI Punjab,R Tewatia
1744,2009,Kings XI Punjab,RR Powar
1745,2016,Rising Pune Supergiants,MS Dhoni
1746,2018,Rajasthan Royals,J Archer
1747,2008,Kings XI Punjab,Gagandeep Singh
1748,2013,Royal Challengers Bangalore,A Mukund
1749,2008,Delhi Daredevils,R Bhatia
1750,2014,Rajasthan Royals,SPD Smith
1751,2015,Royal Challengers Bangalore,V Kohli
1752,2009,Kolkata Knight Riders,BAW Mendis
1753,2011,Kochi Tuskers Kerala,RV Gomez
1754,2009,Kolkata Knight Riders,SB Bangar
1755,2011,Pune Warriors,WD Parnell
1756,2008,Delhi Daredevils,TM Dilshan
1757,2010,Mumbai Indians,CRD Fernando
1758,2009,Rajasthan Royals,SK Trivedi
1759,2008,Royal Challengers Bangalore,JH Kallis
1760,2013,Kolkata Knight Riders,L Balaji
1761,2012,Kolkata Knight Riders,JH Kallis
1762,2008,Mumbai Indians,CRD Fernando
1763,2008,Royal Challengers Bangalore,Z Khan
1764,2010,Kolkata Knight Riders,JD Unadkat
1765,2018,Rajasthan Royals,STR Binny
1766,2008,Deccan Chargers,VVS Laxman
1767,2019,Mumbai Indians,J Yadav
1768,2009,Mumbai Indians,DS Kulkarni
1769,2010,Chennai Super Kings,T Thushara
1770,2013,Royal Challengers Bangalore,Z Khan
1771,2013,Kolkata Knight Riders,P Dogra
1772,2011,Chennai Super Kings,SB Styris
1773,2017,Gujarat Lions,BB McCullum
1774,2017,Rising Pune Supergiant,Imran Tahir
1775,2012,Rajasthan Royals,KK Cooper
1776,2014,Delhi Daredevils,R Sharma
1777,2008,Chennai Super Kings,ML Hayden
1778,2013,Rajasthan Royals,R Dravid
1779,2010,Chennai Super Kings,NLTC Perera
1780,2010,Rajasthan Royals,DR Martyn
1781,2017,Kings XI Punjab,Anureet Singh
1782,2013,Mumbai Indians,Harbhajan Singh
1783,2011,Mumbai Indians,A Symonds
1784,2011,Mumbai Indians,MM Patel
1785,2012,Kings XI Punjab,DJ Hussey
1786,2019,Sunrisers Hyderabad,B Kumar
1787,2011,Royal Challengers Bangalore,V Kohli
1788,2012,Mumbai Indians,MM Patel
1789,2019,Kolkata Knight Riders,PP Chawla
1790,2008,Royal Challengers Bangalore,R Dravid
1791,2018,Rajasthan Royals,M Lomror
1792,2016,Royal Challengers Bangalore,T Shamsi
1793,2012,Pune Warriors,SPD Smith
1794,2015,Mumbai Indians,PA Patel
1795,2019,Kolkata Knight Riders,L Ferguson
