,Player,Total_Batting_Weight,Total_Bowling_Weight,Total_Weight
226,RV Uthappa,2.72917,0.0,2.72917
227,Gurkeerat Singh,2.72084,0.0,2.72084
228,Mandeep Singh,2.71667,0.0,2.71667
229,SM Katich,2.67916,0.0,2.67916
230,N Saini,0.47499,2.18868,2.66367
231,,0.0,2.65095,2.65095
232,KK Nair,2.65001,0.0,2.65001
233,AC Gilchrist,2.62918,0.0,2.62918
234,,0.0,2.62736,2.62736
235,,0.0,2.62265,2.62265
236,,0.0,2.62265,2.62265
237,Ishan Kishan,2.60416,0.0,2.60416
238,GJ Bailey,2.60001,0.0,2.60001
239,LRPL Taylor,2.59166,0.0,2.59166
240,AJ Finch,2.57501,0.0,2.57501
241,M Vohra,2.575,0.0,2.575
242,SS Iyer,2.56666,0.0,2.56666
243,C Munro,2.5,0.0,2.5
244,S Dhawan,2.5,0.0,2.5
245,AS Raut,2.44999,0.0,2.44999
246,,0.0,2.4434,2.4434
247,BB McCullum,2.42083,0.0,2.42083
248,,0.0,2.4151,2.4151
249,,0.0,2.40095,2.40095
250,MK Pandey,2.3875,0.0,2.3875
251,,0.0,2.3868,2.3868
252,,0.0,2.38679,2.38679
253,SS Tiwary,2.38333,0.0,2.38333
254,DPMD Jayawardene,2.36666,0.0,2.36666
255,DB Das,2.35001,0.0,2.35001
256,,0.0,2.33962,2.33962
257,,0.0,2.32075,2.32075
258,AM Rahane,2.31666,0.0,2.31666
259,G Gambhir,2.30416,0.0,2.30416
260,MA Agarwal,2.28751,0.0,2.28751
261,MEK Hussey,2.28334,0.0,2.28334
262,S Badrinath,2.275,0.0,2.275
263,MK Tiwary,2.26249,0.0,2.26249
264,LMP Simmons,2.21667,0.0,2.21667
265,DB Ravi Teja,2.20416,0.0,2.20416
266,C Ingram,2.19584,0.0,2.19584
267,M Vijay,2.14167,0.0,2.14167
268,EJG Morgan,2.08333,0.0,2.08333
269,,0.0,2.06604,2.06604
270,,0.0,2.06132,2.06132
271,,0.0,2.05661,2.05661
272,M Manhas,2.05418,0.0,2.05418
273,S Anirudha,2.0375,0.0,2.0375
274,,0.0,2.02831,2.02831
275,NV Ojha,2.00417,0.0,2.00417
276,AP Tare,1.98333,0.0,1.98333
277,SA Asnodkar,1.98333,0.0,1.98333
278,,0.0,1.9717,1.9717
279,,0.0,1.9717,1.9717
280,KC Sangakkara,1.95417,0.0,1.95417
281,PA Patel,1.94582,0.0,1.94582
282,,0.0,1.93868,1.93868
283,,0.0,1.92925,1.92925
284,,0.0,1.91511,1.91511
285,,0.0,1.9151,1.9151
286,S Sohal,1.88749,0.0,1.88749
287,,0.0,1.87264,1.87264
288,B Chipli,1.85001,0.0,1.85001
289,SR Tendulkar,1.82084,0.0,1.82084
290,Y Nagar,1.79166,0.0,1.79166
291,SP Fleming,1.76249,0.0,1.76249
292,CM Gautam,1.725,0.0,1.725
293,,0.0,1.65095,1.65095
294,R Dravid,1.63332,0.0,1.63332
295,MD Mishra,1.55834,0.0,1.55834
296,M Kaif,1.48332,0.0,1.48332
297,YV Takawale,1.44584,0.0,1.44584
298,P Dogra,1.41667,0.0,1.41667
299,VVS Laxman,1.40415,0.0,1.40415
300,FY Fazal,1.34583,0.0,1.34583
301,HH Gibbs,1.32916,0.0,1.32916
302,GC Smith,1.32082,0.0,1.32082
303,MS Bisla,1.30832,0.0,1.30832
304,M Rawat,1.29168,0.0,1.29168
305,GH Vihari,1.05833,0.0,1.05833
306,SP Goswami,1.05417,0.0,1.05417
307,CA Pujara,1.0125,0.0,1.0125
308,PA Reddy,1.00417,0.0,1.00417
309,K Goel,0.84584,0.0,0.84584
310,AD Nath,0.7,0.0,0.7
311,UBT Chand,0.66667,0.0,0.66667
